Ejecucion,Generacion,Mejor Aptitud
3,85,0.7267425114120241
3,86,0.7225798556834849
3,87,0.7203689587347271
3,88,0.7203689587347271
3,89,0.7095650874836827
3,90,0.7095650874836827
3,91,0.7092003813303253
3,92,0.7092003813303253
3,93,0.7045101491260533
3,94,0.7045101491260533
3,95,0.7045101491260533
3,96,0.7045101491260533
3,97,0.7019479894783196
3,98,0.6951332350184273
3,99,0.690190755828857
3,100,0.690190755828857
4,0,0.8694354619208856
4,1,0.8622245269678691
4,2,0.8622245269678691
4,3,0.8622245269678691
4,4,0.8622245269678691
4,5,0.8596947931175695
4,6,0.8596947931175695
4,7,0.8596947931175695
4,8,0.8571495604912005
4,9,0.8549903648117135
4,10,0.853639902729459
4,11,0.8505638627140952
4,12,0.8505638627140952
4,13,0.8500997344472512
4,14,0.8490992548390296
4,15,0.8461682827002378
4,16,0.8461682827002378
4,17,0.84468863852598
4,18,0.84468863852598
4,19,0.84468863852598
4,20,0.84468863852598
4,21,0.8409961936420135
4,22,0.8409961936420135
4,23,0.8409961936420135
4,24,0.8348726267721448
4,25,0.8348726267721448
4,26,0.8348726267721448
4,27,0.8323518888902756
4,28,0.8323518888902756
4,29,0.8323518888902756
4,30,0.8323518888902756
4,31,0.8307137812298717
4,32,0.8307137812298717
4,33,0.8296389414184665
4,34,0.8283815664069535
4,35,0.8283815664069535
4,36,0.8283815664069535
4,37,0.8283815664069535
4,38,0.827427617798298
4,39,0.8266427853922658
4,40,0.8248894993236195
4,41,0.8222618899946859
4,42,0.8222618899946859
4,43,0.8143238621836785
4,44,0.8143238621836785
4,45,0.8143238621836785
4,46,0.8135695004386396
4,47,0.8094937080518424
4,48,0.8094937080518424
4,49,0.8094937080518424
4,50,0.804410941960141
4,51,0.8042447477010365
4,52,0.8042447477010365
4,53,0.8037492294672351
4,54,0.7959757585768041
4,55,0.7950375138685798
4,56,0.793277276513767
4,57,0.793277276513767
4,58,0.7865441041421493
4,59,0.7865441041421493
4,60,0.7865441041421493
4,61,0.7852084952120287
4,62,0.7852084952120287
4,63,0.7852084952120287
4,64,0.7844612089821736
4,65,0.7762779344893972
4,66,0.7762779344893972
4,67,0.7762779344893972
4,68,0.7751970267864122
4,69,0.7751970267864122
4,70,0.7751970267864122
4,71,0.7723964505338611
4,72,0.7723964505338611
4,73,0.7723964505338611
4,74,0.76911489426363
4,75,0.7657395033875124
4,76,0.7657395033875124
4,77,0.7572522801051239
4,78,0.7572522801051239
4,79,0.7572522801051239
4,80,0.7572522801051239
4,81,0.7572522801051239
